time,BulkRi_hub,L_6p64m,L_24m
2024-06-20 04:00:00,0.56072,69.695,33.818
2024-06-20 04:10:00,1.1365,69.695,33.818
2024-06-20 04:20:00,2.9216,99.687,116
2024-06-20 04:30:00,0.97263,99.687,116
2024-06-20 04:40:00,0.29158,99.687,116
2024-06-20 04:50:00,0.64369,58.819,31.948
2024-06-20 05:00:00,0.50967,58.819,31.948
2024-06-20 05:10:00,0.64843,48.223,47.132
2024-06-20 05:20:00,0.49685,48.223,47.132
2024-06-20 05:30:00,0.41165,68.274,136.66
2024-06-20 05:40:00,1.7125,68.274,136.66
2024-06-20 11:30:00,0.10042,74.286,39.289
2024-06-20 11:40:00,0.21268,74.286,39.289
2024-06-20 11:50:00,0.26282,84.668,47.577
2024-06-20 12:00:00,0.34272,79.802,58.743
2024-06-20 12:10:00,0.26715,79.802,58.743
2024-06-20 12:20:00,0.2515,74.433,46.474
2024-06-20 12:30:00,0.45321,74.433,46.474
2024-06-20 12:40:00,0.40318,79.709,34.906
2024-06-20 12:50:00,0.41871,79.709,34.906
2024-06-20 13:00:00,0.3083,79.283,41.272
2024-06-20 13:10:00,0.35524,79.283,41.272
2024-06-20 13:20:00,0.28801,104.57,40.34
2024-06-20 13:30:00,0.52094,104.57,40.34
2024-06-20 13:40:00,0.51917,104.57,40.34
2024-06-20 13:50:00,0.50035,114.65,40.368
2024-06-20 14:00:00,0.39153,114.65,40.368
2024-06-20 14:10:00,0.31443,96.896,73.663
2024-06-20 14:20:00,0.33015,96.896,73.663
2024-06-20 14:30:00,0.23177,100.98,67.819
2024-06-20 14:40:00,0.23394,100.98,67.819
2024-06-20 14:50:00,0.20894,101.35,51.045
2024-06-20 15:00:00,0.19862,103,59.111
2024-06-20 15:10:00,0.21107,103,59.111
2024-06-20 15:20:00,0.24446,117.27,75.32
2024-06-20 15:30:00,0.19255,117.27,75.32
2024-06-20 15:40:00,0.21206,117.52,60.329
2024-06-20 15:50:00,0.27523,117.52,60.329
2024-06-20 16:00:00,0.32661,108.17,69.595
2024-06-20 16:10:00,0.35144,108.17,69.595
2024-06-20 16:20:00,0.21751,97.136,60.275
2024-06-20 16:30:00,0.18981,97.136,60.275
2024-06-20 16:40:00,0.23554,97.136,60.275
2024-06-20 16:50:00,0.19405,109.46,52.787
2024-06-20 17:00:00,0.16605,109.46,52.787
2024-06-20 17:10:00,0.20601,88.502,55.666
2024-06-20 17:20:00,0.25207,88.502,55.666
2024-06-20 17:30:00,0.2083,85.337,54.766
2024-06-20 17:40:00,0.24853,85.337,54.766
2024-06-20 17:50:00,0.27504,86.537,35.489
2024-06-20 18:00:00,0.28596,89.495,51.673
2024-06-20 18:10:00,0.2615,89.495,51.673
2024-06-20 18:20:00,0.2358,93.249,63.066
2024-06-20 18:30:00,0.24446,93.249,63.066
2024-06-20 18:40:00,0.25616,81.243,69.47
2024-06-20 18:50:00,0.23437,81.243,69.47
2024-06-20 19:00:00,0.28819,84.009,58.199
2024-06-20 19:10:00,0.27306,84.009,58.199
2024-06-20 19:20:00,0.23107,94.201,53.625
